date,context,title,file,folder,link,notes,datetime,We,I,You,They,He/She,wordcount,I/We,Sum,Covid
21.03.2022,,Speech at the Forum Metaverse Meeting,PresSpeech1.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136194/forum-metaverse-toplantisi-nda-yaptiklari-konusma-,,3/21/2022 0:00,46.86156492,8.168529665,6.448839209,8.168529665,0.429922614,2326,0.174311927,70.07738607,1
18.03.2022,,Speech at the 1915 Çanakkale Bridge and Malkara-Çanakkale Highway Opening Ceremony,PresSpeech2.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136163/1915-canakkale-koprusu-ve-malkara-canakkale-otoyolu-acilis-toreni-nde-yaptiklari-konusma-,,3/18/2022 0:00,50.94207955,8.722958828,6.978367062,7.327285415,1.744591766,2866,0.171232877,75.71528262,0
18.03.2022,Martyrs' Day,Speech at the 18 March Martyrs' Day and the 107th Anniversary of the Çanakkale Victory,PresSpeech3.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136148/18-mart-sehitleri-anma-gunu-ve-canakkale-zaferi-nin-107-yili-anma-toreni-nde-yaptiklari-konusma,,3/18/2022 0:00,37.85488959,23.13354364,3.154574132,15.77287066,6.309148265,951,0.611111111,86.22502629,0
16.03.2022,State Medal of Honor Conversion Ceremony,Speech at the State Medal of Honor Conversion Ceremony,PresSpeech4.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136079/devlet-ovunc-madalyasi-tevcih-toreni-nde-yaptiklari-konusma,,3/16/2022 0:00,72.2251726,16.46309081,5.310674456,19.64949549,1.062134891,1883,0.227941176,114.7105682,0
15.03.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech5.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136064/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,3/15/2022 0:00,54.57263892,5.232992773,1.495140792,7.475703962,2.741091453,4013,0.095890411,71.5175679,0
15.03.2022,International,Speech at the International Goodness Awards Ceremony,PresSpeech6.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136062/uluslararasi-iyilik-odulleri-toreni-nde-yaptiklari-konusma,,3/15/2022 0:00,44.14042334,16.77852349,6.453278265,19.87609706,3.097573567,3874,0.380116959,90.34589572,1
14.03.2022,Medicine Day,Speech Delivered at the 14 March Medicine Day Event,PresSpeech7.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136027/14-mart-tip-bayrami-etkinliginde-yaptiklari-konusma,,3/14/2022 0:00,43.90397979,8.528111181,3.158559697,8.843967151,2.526847757,3166,0.194244604,66.96146557,1
11.03.2022,,Speech at the Antalya Diplomacy Forum,PresSpeech8.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136020/antalya-diplomasi-forumu-nda-yaptiklari-konusma,,3/11/2022 0:00,32.93509848,13.56151114,3.874717469,5.166289958,4.520503713,3097,0.411764706,60.05812076,1
08.03.2022,,Speech of Women Mukhtars at the Meeting,PresSpeech9.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135911/kadin-muhtarlarla-toplantida-yaptiklari-konusma,,3/8/2022 0:00,45.43389368,9.541117674,6.815084053,8.859609269,4.770558837,4402,0.21,75.42026352,1
04.03.2022,,Speech at the 4th Ordinary General Assembly of KADEM,PresSpeech10.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135887/kadem-4-olagan-genel-kurulu-nda-yaptiklari-konusma,,3/4/2022 0:00,32.9764454,6.852248394,2.569593148,19.70021413,0.428265525,2335,0.207792208,62.5267666,0
28.02.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech11.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135834/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2/28/2022 0:00,48.45580405,4.526091587,1.064962726,6.922257721,1.331203408,3756,0.093406593,62.30031949,1
28.02.2022,,Presentation of Şule Yüksel Şenler Foundation and their Speech at the Screening Program of Şule Documentary,PresSpeech12.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135832/sule-yuksel-senler-vakfi-tanitimi-ve-sule-belgeseli-gosterim-programi-nda-yaptiklari-konusma,,2/28/2022 0:00,26.9849507,17.12506487,1.556824079,5.189413596,22.31447846,1927,0.634615385,73.17073171,0
25.02.2022,,Speech at the Istanbul Education Investments Collective Opening Ceremony,PresSpeech13.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135806/istanbul-egitim-yatirimlari-toplu-acilis-toreni-nde-yaptiklari-konusma,,2/25/2022 0:00,57.7136515,9.988901221,2.589715131,4.439511654,0.369959304,2703,0.173076923,75.10173881,1
24.02.2022,,Speech at the Acceptance of the Delegation of the International Union of Democrats,PresSpeech14.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135779/uluslararasi-demokratlar-birligi-heyeti-ni-kabulde-yaptiklari-konusma,,2/24/2022 0:00,56.68541757,6.057983557,7.356122891,15.14495889,0.432713111,2311,0.106870229,85.67719602,1
22.02.2022,International,Speech at the Opening Ceremony of the New Chancery Building of the Dakar Embassy,PresSpeech15.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135770/dakar-buyukelciligi-yeni-kancilarya-binasi-nin-acilis-toreni-nde-yaptiklari-konusma,,2/22/2022 0:00,48.36895388,37.12035996,12.37345332,5.624296963,1.124859393,889,0.76744186,104.6119235,0
21.02.2022,,Speech at the Turkey-Senegal Business Forum,PresSpeech16.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135749/-turkiye-senegal-is-forumu-nda-yaptiklari-konusma,,2/21/2022 0:00,52.21130221,17.81326781,3.071253071,2.457002457,0,1628,0.341176471,75.55282555,1
17.02.2022,,Speech Delivered at the Disabled Officer Appointment Ceremony,PresSpeech17.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135705/engelli-memur-atamasi-toreninde-yaptiklari-konusma,,2/17/2022 0:00,55.12195122,6.829268293,2.43902439,11.70731707,1.951219512,2050,0.123893805,78.04878049,1
16.02.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech18.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135698/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2/16/2022 0:00,46.3717501,7.372914241,2.134264649,4.656577416,0.388048118,5154,0.158995816,60.92355452,1
15.02.2022,,His Speech at the EXPO 2020 Turkey National Day Events,PresSpeech19.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135677/expo-2020-turkiye-ulusal-gunu-etkinliklerinde-yaptigi-konusma,,2/15/2022 0:00,29.41176471,19.60784314,8.403361345,1.400560224,0,714,0.666666667,58.82352941,1
15.02.2022,,Speech at the Meeting with UAE Business People and Investors,PresSpeech20.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135671/bae-li-is-insanlari-ve-yatirimcilarla-toplantida-yaptiklari-konusma-,,2/15/2022 0:00,38.37471783,12.41534989,10.15801354,4.514672686,0,886,0.323529412,65.46275395,1
15.02.2022,,Speech at the Youth Meeting in the UAE,PresSpeech21.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135694/bae-de-genclerle-bulusma-programi-nda-yaptiklari-konusma,,2/15/2022 0:00,46.63923182,26.06310014,13.71742112,2.743484225,0,729,0.558823529,89.16323731,0
