date,title,file,link
22.08.2022,President Mahmoud Abbas of Palestine to Visit Türkiye,PresSpeechEN1.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139203/president-mahmoud-abbas-of-palestine-to-visit-turkiye
19.08.2022,Phone Call with President Isaac Herzog of Israel,PresSpeechEN2.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139158/phone-call-with-president-isaac-herzog-of-israel
18.08.2022,Phone Call with President Andrzej Duda of Poland,PresSpeechEN3.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139156/phone-call-with-president-andrzej-duda-of-poland
17.08.2022,Phone Call with Prime Minister Yair Lapid of Israel,PresSpeechEN4.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139135/phone-call-with-prime-minister-yair-lapid-of-israel
16.08.2022,President Erdoğan to Visit Ukraine,PresSpeechEN5.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139116/president-erdogan-to-visit-ukraine
05.01.2023,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN6.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142442/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
05.01.2023,Phone Call with President Putin of Russia,PresSpeechEN7.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142426/phone-call-with-president-putin-of-russia
31.12.2022,President Erdoğan’s Message on New Year,PresSpeechEN8.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142370/president-erdogan-s-message-on-new-year
29.12.2022,President Đukanović of Montenegro to visit Türkiye,PresSpeechEN9.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142333/president-ukanovi-of-montenegro-to-visit-turkiye
24.12.2022,President Erdoğan’s Message on Christmas ,PresSpeechEN10.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142262/president-erdogan-s-message-on-christmas-
20.12.2022,President Macky Sall of Senegal to Visit Türkiye,PresSpeechEN11.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142189/president-macky-sall-of-senegal-to-visit-turkiye
18.12.2022,President Erdoğan’s Message on Hanukkah,PresSpeechEN12.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142148/president-erdogan-s-message-on-hanukkah
17.12.2022,President Erdoğan to Visit Qatar,PresSpeechEN13.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142142/president-erdogan-to-visit-qatar
12.12.2022,President Erdoğan to Visit Turkmenistan,PresSpeechEN14.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142077/president-erdogan-to-visit-turkmenistan
10.12.2022,President Erdoğan’s Message on Human Rights Day,PresSpeechEN15.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142056/president-erdogan-s-message-on-human-rights-day
08.12.2022,President Radev of Bulgaria to visit Türkiye,PresSpeechEN16.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142014/president-radev-of-bulgaria-to-visit-turkiye
24.11.2022,Prime Minister Shehbaz Sharif of Pakistan to Visit Türkiye,PresSpeechEN17.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141828/prime-minister-shehbaz-sharif-of-pakistan-to-visit-turkiye
22.11.2022,President Díaz-Canel of Cuba to Visit Türkiye,PresSpeechEN18.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141766/president-d-az-canel-of-cuba-to-visit-turkiye
19.11.2022,President Erdoğan to Visit Qatar ,PresSpeechEN19.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141742/president-erdogan-to-visit-qatar-
18.11.2022,Phone Call with President Ersin Tatar of the Turkish Republic of Northern Cyprus (TRNC),PresSpeechEN20.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141838/phone-call-with-president-ersin-tatar-of-the-turkish-republic-of-northern-cyprus-trnc-
18.11.2022,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN21.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141837/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
18.11.2022,Phone Call with President Vladimir Putin of Russia,PresSpeechEN22.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141836/phone-call-with-president-vladimir-putin-of-russia
12.11.2022,President Erdoğan to Visit Indonesia,PresSpeechEN23.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141666/president-erdogan-to-visit-indonesia
09.11.2022,President Erdoğan to Visit Uzbekistan,PresSpeechEN24.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141589/president-erdogan-to-visit-uzbekistan
06.11.2022,Prime Minister Kristersson of Sweden to Visit Türkiye,PresSpeechEN25.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141523/prime-minister-kristersson-of-sweden-to-visit-turkiye
04.11.2022,Phone Call with UN Secretary-General Guterres,PresSpeechEN26.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141479/phone-call-with-un-secretary-general-guterres
02.11.2022,Phone Call with President Zelensky of Ukraine,PresSpeechEN27.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141471/phone-call-with-president-zelensky-of-ukraine
01.11.2022,Phone Call with President Putin of Russia,PresSpeechEN28.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141469/phone-call-with-president-putin-of-russia
01.11.2022,Phone Call with Chancellor Scholz of Germany,PresSpeechEN29.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141470/phone-call-with-chancellor-scholz-of-germany
29.10.2022,President Erdoğan’s Message on 29 October Republic Day,PresSpeechEN30.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141392/president-erdogan-s-message-on-29-october-republic-day
24.10.2022,President Erdoğan’s Message on the 77th Anniversary of the Establishment of the UN,PresSpeechEN31.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140336/president-erdogan-s-message-on-the-77th-anniversary-of-the-establishment-of-the-un
19.10.2022,President Erdoğan to Visit Azerbaijan,PresSpeechEN32.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140232/president-erdogan-to-visit-azerbaijan
13.10.2022,Qatar Emir Sheikh Tamim to Visit Türkiye,PresSpeechEN33.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140144/qatar-emir-sheikh-tamim-to-visit-turkiye
11.10.2022,President Erdoğan to Visit Kazakhstan ,PresSpeechEN34.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140095/president-erdogan-to-visit-kazakhstan-
07.10.2022,Phone Call with President Putin of Russia,PresSpeechEN35.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140074/phone-call-with-president-putin-of-russia
06.10.2022,President Erdoğan to Visit Czech Republic,PresSpeechEN36.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139990/president-erdogan-to-visit-czech-republic
25.09.2022,President Erdoğan’s Message on Rosh Hashanah,PresSpeechEN37.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139834/president-erdogan-s-message-on-rosh-hashanah
