date,title,translated_title,file,link
21.03.2022,Forum Metaverse Toplantısı’nda Yaptıkları Konuşma ,Speech at the Forum Metaverse Meeting,PresSpeech1.txt,https://www.tccb.gov.tr/konusmalar/353/136194/forum-metaverse-toplantisi-nda-yaptiklari-konusma-
18.03.2022,1915 Çanakkale Köprüsü ve Malkara-Çanakkale Otoyolu Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the 1915 Çanakkale Bridge and Malkara-Çanakkale Highway Opening Ceremony,PresSpeech2.txt,https://www.tccb.gov.tr/konusmalar/353/136163/1915-canakkale-koprusu-ve-malkara-canakkale-otoyolu-acilis-toreni-nde-yaptiklari-konusma-
18.03.2022,18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 107. Yılı Anma Töreni’nde Yaptıkları Konuşma,Speech at the 18 March Martyrs' Day and the 107th Anniversary of the Çanakkale Victory,PresSpeech3.txt,https://www.tccb.gov.tr/konusmalar/353/136148/18-mart-sehitleri-anma-gunu-ve-canakkale-zaferi-nin-107-yili-anma-toreni-nde-yaptiklari-konusma
16.03.2022,Devlet Övünç Madalyası Tevcih Töreni’nde Yaptıkları Konuşma,Speech at the State Medal of Honor Conversion Ceremony,PresSpeech4.txt,https://www.tccb.gov.tr/konusmalar/353/136079/devlet-ovunc-madalyasi-tevcih-toreni-nde-yaptiklari-konusma
15.03.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech5.txt,https://www.tccb.gov.tr/konusmalar/353/136064/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
15.03.2022,Uluslararası İyilik Ödülleri Töreni’nde Yaptıkları Konuşma,Speech at the International Goodness Awards Ceremony,PresSpeech6.txt,https://www.tccb.gov.tr/konusmalar/353/136062/uluslararasi-iyilik-odulleri-toreni-nde-yaptiklari-konusma
14.03.2022,14 Mart Tıp Bayramı Etkinliğinde Yaptıkları Konuşma,Speech Delivered at the 14 March Medicine Day Event,PresSpeech7.txt,https://www.tccb.gov.tr/konusmalar/353/136027/14-mart-tip-bayrami-etkinliginde-yaptiklari-konusma
11.03.2022,Antalya Diplomasi Forumu’nda Yaptıkları Konuşma,Speech at the Antalya Diplomacy Forum,PresSpeech8.txt,https://www.tccb.gov.tr/konusmalar/353/136020/antalya-diplomasi-forumu-nda-yaptiklari-konusma
08.03.2022,Kadın Muhtarlarla Toplantıda Yaptıkları Konuşma,Speech of Women Mukhtars at the Meeting,PresSpeech9.txt,https://www.tccb.gov.tr/konusmalar/353/135911/kadin-muhtarlarla-toplantida-yaptiklari-konusma
04.03.2022,KADEM 4. Olağan Genel Kurulu’nda Yaptıkları Konuşma,Speech at the 4th Ordinary General Assembly of KADEM,PresSpeech10.txt,https://www.tccb.gov.tr/konusmalar/353/135887/kadem-4-olagan-genel-kurulu-nda-yaptiklari-konusma
28.02.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech11.txt,https://www.tccb.gov.tr/konusmalar/353/135834/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
28.02.2022,Şule Yüksel Şenler Vakfı Tanıtımı ve Şule Belgeseli Gösterim Programı’nda Yaptıkları Konuşma,Presentation of Şule Yüksel Şenler Foundation and their Speech at the Screening Program of Şule Documentary,PresSpeech12.txt,https://www.tccb.gov.tr/konusmalar/353/135832/sule-yuksel-senler-vakfi-tanitimi-ve-sule-belgeseli-gosterim-programi-nda-yaptiklari-konusma
25.02.2022,İstanbul Eğitim Yatırımları Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Istanbul Education Investments Collective Opening Ceremony,PresSpeech13.txt,https://www.tccb.gov.tr/konusmalar/353/135806/istanbul-egitim-yatirimlari-toplu-acilis-toreni-nde-yaptiklari-konusma
24.02.2022,Uluslararası Demokratlar Birliği Heyeti’ni Kabulde Yaptıkları Konuşma,Speech at the Acceptance of the Delegation of the International Union of Democrats,PresSpeech14.txt,https://www.tccb.gov.tr/konusmalar/353/135779/uluslararasi-demokratlar-birligi-heyeti-ni-kabulde-yaptiklari-konusma
22.02.2022,Dakar Büyükelçiliği Yeni Kançılarya Binası’nın Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of the New Chancery Building of the Dakar Embassy,PresSpeech15.txt,https://www.tccb.gov.tr/konusmalar/353/135770/dakar-buyukelciligi-yeni-kancilarya-binasi-nin-acilis-toreni-nde-yaptiklari-konusma
21.02.2022, Türkiye-Senegal İş Forumu’nda Yaptıkları Konuşma,Speech at the Turkey-Senegal Business Forum,PresSpeech16.txt,https://www.tccb.gov.tr/konusmalar/353/135749/-turkiye-senegal-is-forumu-nda-yaptiklari-konusma
17.02.2022,Engelli Memur Ataması Töreninde Yaptıkları Konuşma,Speech Delivered at the Disabled Officer Appointment Ceremony,PresSpeech17.txt,https://www.tccb.gov.tr/konusmalar/353/135705/engelli-memur-atamasi-toreninde-yaptiklari-konusma
16.02.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech18.txt,https://www.tccb.gov.tr/konusmalar/353/135698/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
15.02.2022,EXPO 2020 Türkiye Ulusal Günü Etkinliklerinde Yaptığı Konuşma,His Speech at the EXPO 2020 Turkey National Day Events,PresSpeech19.txt,https://www.tccb.gov.tr/konusmalar/353/135677/expo-2020-turkiye-ulusal-gunu-etkinliklerinde-yaptigi-konusma
15.02.2022,BAE’li İş İnsanları ve Yatırımcılarla Toplantıda Yaptıkları Konuşma ,Speech at the Meeting with UAE Business People and Investors,PresSpeech20.txt,https://www.tccb.gov.tr/konusmalar/353/135671/bae-li-is-insanlari-ve-yatirimcilarla-toplantida-yaptiklari-konusma-
15.02.2022,BAE'de Gençlerle Buluşma Programı’nda Yaptıkları Konuşma,Speech at the Youth Meeting in the UAE,PresSpeech21.txt,https://www.tccb.gov.tr/konusmalar/353/135694/bae-de-genclerle-bulusma-programi-nda-yaptiklari-konusma
12.02.2022,Türkiye Ekonomi Modeli Yeni Adımlar ve Enflasyon Tedbirleri Tanıtım Toplantısı’nda Yaptıkları Konuşma,Speech at the Turkish Economy Model New Steps and Inflation Measures Promotion Meeting,PresSpeech22.txt,https://www.tccb.gov.tr/konusmalar/353/135639/turkiye-ekonomi-modeli-yeni-adimlar-ve-enflasyon-tedbirleri-tanitim-toplantisi-nda-yaptiklari-konusma
05.02.2022,Zonguldak-Kilimli Yolu Prof. Dr. Şaban Teoman Duralı Tünelleri ile Yapımı Tamamlanan Diğer Projelerin Toplu Açılış Töreni’nde Yaptıkları Konuşma,Zonguldak-Kilimli Road Prof. Dr. Speech of Şaban Teoman Duralı Tunnels and Other Completed Projects at the Collective Opening Ceremony,PresSpeech23.txt,https://www.tccb.gov.tr/konusmalar/353/135620/zonguldak-kilimli-yolu-prof-dr-saban-teoman-durali-tunelleri-ile-yapimi-tamamlanan-diger-projelerin-toplu-acilis-toreni-nde-yaptiklari-konusma
02.02.2022,Türkiye Genç İş Adamları Konfederasyonu Genel Kurulu’nda Yaptıkları Konuşma,Speech at the General Assembly of the Confederation of Young Businessmen of Turkey,PresSpeech24.txt,https://www.tccb.gov.tr/konusmalar/353/135590/turkiye-genc-is-adamlari-konfederasyonu-genel-kurulu-nda-yaptiklari-konusma
31.01.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech25.txt,https://www.tccb.gov.tr/konusmalar/353/135556/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
31.01.2022,Öğretmen Atamaları Programı’nda Yaptıkları Konuşma,Speech Given in the Teacher Appointments Program,PresSpeech26.txt,https://www.tccb.gov.tr/konusmalar/353/135555/ogretmen-atamalari-programi-nda-yaptiklari-konusma
30.01.2022,Trabzon Akçaabat’ta Halka Hitapları,Public Addresses in Trabzon Akcaabat,PresSpeech27.txt,https://www.tccb.gov.tr/konusmalar/353/135532/trabzon-akcaabat-ta-halka-hitaplari
30.01.2022,Trabzon Gençlerle Söyleşi Programı,Trabzon Conversation Program with Young People,PresSpeech28.txt,https://www.tccb.gov.tr/konusmalar/353/135571/trabzon-genclerle-soylesi-programi
