title,url,date
"Cumhurbaşkanı Erdoğan, Kültür ve Turizm Bakanlığı Özel Ödülleri Töreni’ne katıldı",https://www.tccb.gov.tr/assets/video/2023A/2023-01-24-odultoreni.mp4,24.01.2023
MGK Toplantısı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2023A/2023-01-25-mgk.mp4,25.01.2023
Kabine Toplantısı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2023A/2023-01-23-kabine.mp4,23.01.2023
"“Vatandaşlarımızın ve şirketlerimizin, kamu kurumu ve kuruluşlarına olan borçlarının cezalarını kaldırıyoruz”",https://www.tccb.gov.tr/assets/video/2023A/2023-01-23-kabine-bt.mp4,23.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Kâğıthane Yeni Meydan’da gerçekleştirilen İstanbul Kâğıthane-Göktürk-İstanbul Havalimanı metro hattının açılış törenine katıldı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-22-metro.mp4,22.01.2023
"Bursa Gemlik Büyükkumla Barajı, Bursa Bölge İdare Mahkemesi Hizmet Binası, Dağyenice Doğal Yaşam Turizm Kompleksi ve Yapımı Tamamlanan Diğer Projelerin Toplu Açılış Töreni (Gökdere Meydanı)",https://www.tccb.gov.tr/assets/video/2023A/2023-01-21-bursa-01-topluacilis.mp4,21.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Merinos Atatürk Kongre ve Kültür Merkezi’nde düzenlenen Bursa Ticaret ve Sanayi Odası (BTSO) Ekonomiye Değer Katanlar Ödül Töreni’ne katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-21-bursa-02-odul.mp4,21.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Bursa programı kapsamında gençlerle bir araya geldi.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-21-bursa-03-gencler.mp4,21.01.2023
2023 Roman Buluşması – Yüzyılın Romanını Birlikte Yazıyoruz (Haliç Kongre Merkezii),https://www.tccb.gov.tr/assets/video/2023A/2023-01-20-roman.mp4,20.01.2023
Amasya Badal Tüneli Açılış Töreni’ne Canlı Bağlantı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2023A/2023-01-19-amasya.mp4,19.01.2023
"Cumhurbaşkanı ve AK Parti Genel Başkanı Recep Tayyip Erdoğan, Türkiye Büyük Millet Meclisi (TBMM) AK Parti Grup Toplantısı’na katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-18-akparti.mp4,18.01.2023
"Emine Erdoğan ""Turandot"" operasını izledi",https://www.tccb.gov.tr/assets/video/2023A/2023-01-18-ee-opera.mp4,18.01.2023
"Cumhurbaşkanı Erdoğan, İran Dışişleri Bakanı Abdullahiyan'ı kabul etti",https://www.tccb.gov.tr/assets/video/2023A/2023-01-17-iran.mp4,17.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, eşi Emine Erdoğan ile birlikte İstanbul Eyüpsultan’daki Şule Yüksel Şenler Vakfı Hizmet Binası açılış törenine katıldı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-16-suleyuksel.mp4,16.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Muğla Sıtkı Koçman Üniversitesi Öğrenci Sarayı’nda düzenlenen Sivil Toplum ve Muhtarlar Buluşması’na katıldı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-14-mugla-02-muhtar.mp4,14.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Muğla’daki programı kapsamında Fethiye’de gençlerle bir araya geldi.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-14-mugla-04-gencler.mp4,14.01.2023
Rami Kütüphanesi Açılış Töreni (Eyüpsultan / İstanbul),https://www.tccb.gov.tr/assets/video/2023A/2023-01-13-kutuphane.mp4,13.01.2023
"Emine Erdoğan, “Sürdürülebilir Yüzyıl Zirvesi ve Ödül Töreni”ne katıldı",https://www.tccb.gov.tr/assets/video/2023A/2023-01-13-ee-toren.mp4,13.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, Çankaya Köşkü’nde düzenlenen, Hedef 2053 Net Sıfır Emisyon “AR-GE ve Yenilik Atılımı” Koordinasyon Toplantısı’na katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-12-hedef.mp4,12.01.2023
Uluslararası Ombudsmanlık Konferansı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2023A/2023-01-11-ombusman.mp4,11.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, ATO Congresium’da düzenlenen “Yüz Yüze Türkiye Esnaf Buluşması” programına katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-10-esnaf.mp4,10.01.2023
Yeni Nesil Fırtına Obüsleri Teslimat Töreni (MSB Arifiye Yerleşkesi BMC İşletmesi / Sakarya),https://www.tccb.gov.tr/assets/video/2023A/2023-01-09-obus.mp4,09.01.2023
Kabine Toplantısı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-26-kabine.mp4,26.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Cumhurbaşkanlığı Külliyesinde gerçekleştirilen Cumhurbaşkanlığı Kabinesi Toplantısı’nın ardından basın açıklaması yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-09-kabine-bt.mp4,09.01.2023
ÜniAK FEST Programı (Volkswagen Arena),https://www.tccb.gov.tr/assets/video/2023A/2023-01-08-uniak.mp4,08.01.2023
"Cumhurbaşkanı Erdoğan, restorasyonu tamamlanan Yeni Camii'nin açılışını gerçekleştirdi",https://www.tccb.gov.tr/assets/video/2023A/2023-01-06-cami.mp4,06.01.2023
"Cumhurbaşkanı ve AK Parti Genel Başkanı Recep Tayyip Erdoğan, Türkiye Büyük Millet Meclisi (TBMM) AK Parti Grup Toplantısı’na katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-04-akparti.mp4,04.01.2023
7. Anadolu Medya Ödülleri (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2023A/2023-01-04-odul.mp4,04.01.2023
"Cumhurbaşkanı Recep Tayyip Erdoğan, 2022 yılı dış ticaret rakamlarının açıklandığı programa katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2023A/2023-01-02-disticaret.mp4,02.01.2023
"Cumhurbaşkanı Erdoğan'ın, yeni yıl dolayısıyla yayımladığı mesaj",https://www.tccb.gov.tr/assets/video/2022B/2022-12-31-yeniyil.mp4,31.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan ve Karadağ Cumhurbaşkanı Milo Cukanoviç, Vahdettin Köşkü'ndeki baş başa ve heyetler arası görüşmelerinin ardından ortak basın toplantısı düzenledi.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-30-karadag-bt.mp4,30.12.2022
Karadağ Cumhurbaşkanı Milo Cukanoviç ile Görüşme (Vahdettin Köşkü),https://www.tccb.gov.tr/assets/video/2022B/2022-12-30-karadag-karsilama.mp4,30.12.2022
3. Uluslararası İlahiyat Gençlik Buluşması ve İlahiyat Yıldızları Ödül Töreni (Burhan Felek Salonu),https://www.tccb.gov.tr/assets/video/2022B/2022-12-30-ilahiyat.mp4,30.12.2022
TÜBİTAK ve TÜBA Ödülleri (Beştepe Millet Kongre ve Kültür Merkezi),https://www.tccb.gov.tr/assets/video/2022B/2022-tubavetubitakodulleri.mp4,
"Emine Erdoğan, Çocuk Hastanesi Çocuk Hematolojisi ve Onkolojisi Servisi’nde tedavi gören çocukları ziyaret etti",https://www.tccb.gov.tr/assets/video/2022B/2022-12-29-ee-cocuklar.mp4,29.12.2022
"Cumhurbaşkanı Erdoğan, 1 Milyon İstihdam Projesi Kamuoyu Bilgilendirme Programı’na katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-29-istihdam.mp4,29.12.2022
"Cumhurbaşkanı Erdoğan, MHP Genel Başkanı Bahçeli’yi kabul etti",https://www.tccb.gov.tr/assets/video/2022B/2022-12-29-devletbahceli.mp4,29.12.2022
TÜBİTAK ve TÜBA Ödülleri (Beştepe Millet Kongre ve Kültür Merkezi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-28-tubitak.mp4,28.12.2022
“Emeklilik hakkının kullanılması hususunda herhangi bir yaş sınırı uygulanmayacaktır”,https://www.tccb.gov.tr/assets/video/2022B/2022-12-28-eyt.mp4,28.12.2022
Sri Lanka Büyükelçisi Saranya Hasanthi Urugodawatte Dissanayake’nin Güven Mektubunu Takdim Töreni (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-27-srilanka.mp4,27.12.2022
Uruguay Büyükelçisi Hugo Cayrus’un Güven Mektubunu Takdim Töreni (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-27-uruguay.mp4,27.12.2022
İsrail Büyükelçisi Irit Lillian’ın Güven Mektubunu Takdim Töreni (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-27-israil.mp4,27.12.2022
Kırgızistan Büyükelçisi Ruslan Kazakbaev’in Güven Mektubunu Takdim Töreni (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-27-kirgizistan.mp4,27.12.2022
Suudi Arabistan Şura Meclisi Başkanı Abdullah Muhammed İbrahim Al-Sheikh’i Kabul (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-26-arabistan-01-gorusme.mp4,26.12.2022
Kabine Toplantısı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-26-kabine.mp4,26.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Cumhurbaşkanlığı Külliyesinde gerçekleştirilen Cumhurbaşkanlığı Kabinesi Toplantısı’nın ardından basın açıklaması yaptı.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-26-kabine-bt.mp4,26.12.2022
"Emine Erdoğan, Olgunlaşma Enstitülerinin ortak markası “Bohça” mağazasının Galataport’taki ikinci şubesinin açılışını gerçekleştirdi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-24-ee-istanbul.mp4,24.12.2022
"Cumhurbaşkanı Erdoğan, Erzurum’da toplu açılış törenine katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-24-erzurum-01-acilis.mp4,24.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Erzurum programı kapsamında gençlerle bir araya geldi.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-24-erzurum-02-gencler.mp4,24.12.2022
İslam Dünyası Anayasa Yargısı Konferansı Açılış Kongresi (Dolmabahçe Sarayı),https://www.tccb.gov.tr/assets/video/2022B/2022-12-23-konferans.mp4,23.12.2022
"Emine Erdoğan, “Uluslararası 3. Sıfır Atık Zirvesi ve Ödül Töreni”ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-23-ee-sifiratik.mp4,23.12.2022
"Cumhurbaşkanı Erdoğan, yeni asgari ücreti 8 bin 500 TL olarak açıkladı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-22-asgariucret.mp4,22.12.2022
"Cumhurbaşkanı Erdoğan, Bitlis Çayı Viyadüğü ve bağlantı yollarının açılışını gerçekleştirdi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-22-bitlis.mp4,22.12.2022
AK Parti Grup Toplantısı (TBMM),https://www.tccb.gov.tr/assets/video/2022B/2022-12-21-akparti.mp4,21.12.2022
Senegal Cumhurbaşkanı Sall Cumhurbaşkanlığı Külliyesinde,https://www.tccb.gov.tr/assets/video/2022B/2022-12-21-senegal-01-karsilama.mp4,21.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Senegal Cumhurbaşkanı Macky Sall ile baş başa ve heyetler arası görüşmelerinin ardından ortak basın toplantısı düzenleyerek açıklamalarda bulundu.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-21-senegal-02-bt.mp4,21.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Beştepe Millet Kongre ve Kültür Merkezi’nde düzenlenen Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülleri Töreni’ne katılarak, hak sahiplerine ödüllerini takdim etti.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-21-kultursanat.mp4,21.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, eşi Emine Erdoğan ile birlikte İstanbul’da Kadın Emeği Zirvesi’ne katıldı.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-19-kadin.mp4,19.12.2022
Cumhurbaşkanı Erdoğan Katar’da,https://www.tccb.gov.tr/assets/video/2022B/2022-12-18-katar-01-karsilama.mp4,18.12.2022
"Mardin Derik Ovası Sulaması, Midyat-Nusaybin Yolu, Ömerli ve Dargeçit Doğalgaz Verme ile Yapımı Tamamlanan Diğer Projelerin Toplu Açılış Töreni (15 Temmuz Demokrasi ve Şehitler Meydanı)",https://www.tccb.gov.tr/assets/video/2022B/2022-12-17-mrdin-01-acilis.mp4,17.12.2022
"Cumhurbaşkanı Recep Tayyip Erdoğan, Mardin'de ""Türkiye Yüzyılı-Değerlerin Yüzyılı"" programına katıldı.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-17-mardin-02-gencler.mp4,17.12.2022
Silivri Yeraltı Doğalgaz Depolama Tesisi Kapasite Artış Töreni (Silivri Yeraltı Doğalgaz Depolama Tesisi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-16-dogalgaz.mp4,16.12.2022
"Cumhurbaşkanı Erdoğan, Türkmenistan Devlet Başkanı Berdimuhammedov ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-14-turkmenistan-02-devletbaskani.mp4,14.12.2022
"Cumhurbaşkanı Erdoğan, Azerbaycan Cumhurbaşkanı Aliyev ile görüştü",https://www.tccb.gov.tr/assets/video/2022B/2022-12-14-turkmenistan-03-aliyev.mp4,14.12.2022
"Emine Erdoğan, Türkmenistan’da Türkmen El Sanatları Sergisi'ni gezdi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-14-turkmenistan-05-ee-sergi.mp4,14.12.2022
"Cumhurbaşkanı Erdoğan, Türkiye-Azerbaycan-Türkmenistan Devlet Başkanları Zirvesi’ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-14-turkmenistan-04-ailefoto.mp4,14.12.2022
"Cumhurbaşkanı Erdoğan, Türkmenistan Halk Maslahatı Başkanı Berdimuhamedov ile görüştü",https://www.tccb.gov.tr/assets/video/2022B/2022-12-14-turkmenistan-01-konseybaskani.mp4,14.12.2022
"Cumhurbaşkanı Erdoğan, Rusya Devlet Duması Başkanı Volodin’i kabul etti",https://www.tccb.gov.tr/assets/video/2022B/2022-12-13-rusya.mp4,13.12.2022
"Cumhurbaşkanı Erdoğan, MHP Genel Başkanı Bahçeli ile bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-13-devletbahceli.mp4,13.12.2022
"Cumhurbaşkanı Erdoğan, Türkiye-Azerbaycan-Türkmenistan Zirvesi nedeniyle Türkmenistan’a hareketi öncesi düzenlediği basın toplantısı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-13-turkmenistan-01-bt.mp4,13.12.2022
Cumhurbaşkanı Erdoğan Türkmenistan’da,https://www.tccb.gov.tr/assets/video/2022B/2022-12-13-turkmenistan-varis.mp4,13.12.2022
Kabine Toplantısı (Cumhurbaşkanlığı Külliyesi),https://www.tccb.gov.tr/assets/video/2022B/2022-12-12-kabine.mp4,12.12.2022
Cumhurbaşkanlığı Kabinesi Toplantısı’nın ardından yaptığı açıklama,https://www.tccb.gov.tr/assets/video/2022B/2022-12-12-kabine-bt.mp4,12.12.2022
"Cumhurbaşkanı Erdoğan, Samsun’da gençlerle bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-10-samsun-gencler.mp4,10.12.2022
TRT World Forum (Hilton Bomonti Otel),https://www.tccb.gov.tr/assets/video/2022B/2022-12-09-forum.mp4,09.12.2022
Bulgaristan Cumhurbaşkanı Rumen Radev ile Görüşme (Vahdettin Köşkü),https://www.tccb.gov.tr/assets/video/2022B/2022-12-09-bulgaristan-cb.mp4,09.12.2022
Ortak Basın Toplantısı (Vahdettin Köşkü),https://www.tccb.gov.tr/assets/video/2022B/2022-12-09-bulgaristan-bt.mp4,09.12.2022
"Emine Erdoğan, “Sıfır Atık Eğitim ve Simülasyon Merkezi”nin açılışını yaptı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-08-ee-sifiratik.mp4,08.12.2022
"Cumhurbaşkanı Recep Tayip Erdoğan, Türkiye İşveren Sendikaları Konfederasyonu (TİSK) Genel Kurulu’na katılarak bir konuşma yaptı.",https://www.tccb.gov.tr/assets/video/2022B/2022-12-06-tisk.mp4,06.12.2022
"Emine Erdoğan, Dünya Gönüllülük Günü kapsamında düzenlenen “Afrika Evi” programına katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-06-ee-gonullu.mp4,06.12.2022
"Cumhurbaşkanı Erdoğan, İstanbul'da minibüs odaları başkanları ve şoförleriyle bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-03-soforler.mp4,03.12.2022
“Ülkemizin üretimden diplomasiye her alanda sahip olduğu potansiyeli en üst seviyede hayata geçiriyoruz”,https://www.tccb.gov.tr/assets/video/2022B/2022-12-03-sanliurfa-topluacilis.mp4,03.12.2022
"Emine Erdoğan, “Uluslararası Kırmızı Yelek Gönüllülük Ödül Töreni”ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-03-ee-odul.mp4,03.12.2022
"Cumhurbaşkanı Erdoğan, Şanlıurfa’da gençlerle bir araya geldi",https://www.tccb.gov.tr/assets/video/2022B/2022-12-03-sanliurfa-03-gencler.mp4,03.12.2022
"Emine Erdoğan, Engelsiz Dünya Dostu Festivali’ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-02-ee-engelsiz.mp4,02.12.2022
"Cumhurbaşkanı Erdoğan, Necip Fazıl Ödülleri Töreni’ne katıldı",https://www.tccb.gov.tr/assets/video/2022B/2022-12-02-toren.mp4,02.12.2022
"Emine Erdoğan, Ukrayna’dan Türkiye’ye getirilen yetim çocuklarla buluştu",https://www.tccb.gov.tr/assets/video/2022B/2022-12-01-ee-yetim.mp4,01.12.2022
"“Tarihi İpek Yolu’nun önemli güzergâhını konforlu, güvenli bir ulaşıma kavuşturuyoruz”",https://www.tccb.gov.tr/assets/video/2022B/2022-12-01-devletyolu.mp4,01.12.2022
