,date,context,title,file,folder,link,notes,datetime,We,I,You,They,He/She,wordcount,I/We,Sum,Covid,referendum_binary,effect_binary
1,18.03.2022,Opening Ceremony,Speech at the 1915 Çanakkale Bridge and Malkara-Çanakkale Highway Opening Ceremony,PresSpeech2.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136163/1915-canakkale-koprusu-ve-malkara-canakkale-otoyolu-acilis-toreni-nde-yaptiklari-konusma-,,2022-03-18,50.94207955,8.722958828,6.978367062,7.327285415,1.744591766,2866,0.171232877,75.71528262,0,0,1
2,18.03.2022,Martyrs' Day,Speech at the 18 March Martyrs' Day and the 107th Anniversary of the Çanakkale Victory,PresSpeech3.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136148/18-mart-sehitleri-anma-gunu-ve-canakkale-zaferi-nin-107-yili-anma-toreni-nde-yaptiklari-konusma,,2022-03-18,37.85488959,23.13354364,3.154574132,15.77287066,6.309148265,951,0.611111111,86.22502629,0,0,1
4,15.03.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech5.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/136064/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-03-15,54.57263892,5.232992773,1.495140792,7.475703962,2.741091453,4013,0.095890411,71.5175679,0,0,1
10,28.02.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech11.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135834/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-02-28,48.45580405,4.526091587,1.064962726,6.922257721,1.331203408,3756,0.093406593,62.30031949,1,0,1
12,25.02.2022,Opening Ceremony,Speech at the Istanbul Education Investments Collective Opening Ceremony,PresSpeech13.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135806/istanbul-egitim-yatirimlari-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-02-25,57.7136515,9.988901221,2.589715131,4.439511654,0.369959304,2703,0.173076923,75.10173881,1,0,1
14,22.02.2022,Opening Ceremony,Speech at the Opening Ceremony of the New Chancery Building of the Dakar Embassy,PresSpeech15.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135770/dakar-buyukelciligi-yeni-kancilarya-binasi-nin-acilis-toreni-nde-yaptiklari-konusma,,2022-02-22,48.36895388,37.12035996,12.37345332,5.624296963,1.124859393,889,0.76744186,104.6119235,0,0,1
17,16.02.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech18.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135698/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-02-16,46.3717501,7.372914241,2.134264649,4.656577416,0.388048118,5154,0.158995816,60.92355452,1,0,1
22,05.02.2022,Opening Ceremony,Zonguldak-Kilimli Road Prof. Dr. Speech of Şaban Teoman Duralı Tunnels and Other Completed Projects at the Collective Opening Ceremony,PresSpeech23.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135620/zonguldak-kilimli-yolu-prof-dr-saban-teoman-durali-tunelleri-ile-yapimi-tamamlanan-diger-projelerin-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-02-05,52.76705277,6.435006435,3.861003861,3.861003861,0.0,1554,0.12195122,66.92406692,1,0,1
24,31.01.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech25.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135556/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-01-31,64.16530723,5.709624796,0.54377379,5.981511691,1.903208265,3678,0.088983051,78.30342577,1,0,1
26,30.01.2022,Public Address,Public Addresses in Trabzon Akcaabat,PresSpeech27.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135532/trabzon-akcaabat-ta-halka-hitaplari,,2022-01-30,67.46031746,21.82539683,23.80952381,6.944444444,0.992063492,1008,0.323529412,121.031746,0,0,1
28,30.01.2022,Opening Ceremony,Speech Delivered at the Trabzon Collective Opening Ceremony,PresSpeech29.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135527/trabzon-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-01-30,37.78184034,9.445460085,9.140767824,21.63315052,9.750152346,3282,0.25,87.75137112,0,0,1
29,29.01.2022,Opening Ceremony,Speech Delivered at the Collective Opening Ceremony of the Completed Projects in Giresun,PresSpeech30.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135526/giresun-da-yapimi-tamamlanan-projelerin-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-01-29,58.53935777,13.92441034,13.35606706,14.20858198,0.852514919,3519,0.237864078,100.8809321,0,0,1
30,29.01.2022,Opening Ceremony,"Speech at the Opening Ceremony of Dereli-Doğankent Disaster Housing, Workplaces and Infrastructure Investments",PresSpeech31.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135523/dereli-dogankent-afet-konutlari-isyerleri-ve-altyapi-yatirimlari-acilis-toreni-nde-yaptiklari-konusma,,2022-01-29,55.8419244,22.33676976,12.02749141,6.872852234,6.013745704,1164,0.4,103.0927835,0,0,1
33,19.01.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech34.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/135419/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-01-19,56.51612903,4.903225806,1.290322581,4.64516129,0.516129032,3875,0.086757991,67.87096774,1,0,1
35,17.01.2022,Opening Ceremony,Speech at the Opening Ceremony of Ethem Bey Mosque,PresSpeech36.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134396/ethem-bey-camii-acilis-toreni-nde-yaptiklari-konusma,,2022-01-17,31.43712575,41.91616766,11.9760479,2.994011976,0.0,668,1.333333333,88.32335329,0,0,1
38,15.01.2022,Opening Ceremony,Speech at the Aydın Collective Opening Ceremony,PresSpeech39.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134352/aydin-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-01-15,50.96359743,7.708779443,8.779443255,9.207708779,4.710920771,4670,0.151260504,81.37044968,1,0,1
39,15.01.2022,Opening Ceremony,Speech at the Opening Ceremony of Batı KİPAŞ Paper Factory,PresSpeech40.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134351/bati-kipas-k-git-fabrikasi-acilis-toreni-nde-yaptiklari-konusma,,2022-01-15,31.90767142,14.93550577,2.036659878,4.752206382,0.0,1473,0.468085106,53.63204345,1,0,1
45,08.01.2022,Opening Ceremony,Speech Delivered at the Karaman Collective Opening Ceremony,PresSpeech46.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134253/karaman-toplu-acilis-toreni-nde-yaptiklari-konusma,,2022-01-08,61.58759124,7.983576642,7.983576642,9.352189781,0.912408759,4384,0.12962963,87.81934307,1,0,1
46,08.01.2022,Public Address,Public Addresses in Konya,PresSpeech47.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134251/konya-da-halka-hitaplari,,2022-01-08,49.67197751,16.86972821,14.05810684,6.560449859,4.686035614,1067,0.339622642,91.84629803,1,0,1
50,03.01.2022,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech51.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134202/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2022-01-03,58.24175824,4.395604396,2.417582418,3.956043956,0.0,4550,0.075471698,69.01098901,1,0,1
53,29.12.2021,Opening Ceremony,Speech at the Pirinkayalar Tunnel Opening Ceremony,PresSpeech54.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134157/pirinkayalar-tuneli-acilis-toreni-nde-yaptiklari-konusma,,2021-12-29,61.40350877,7.797270955,0.974658869,0.974658869,0.0,1026,0.126984127,71.15009747,1,0,1
56,25.12.2021,Opening Ceremony,Speech Delivered at the Gaziantep Collective Opening Ceremony,PresSpeech57.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134132/gaziantep-toplu-acilis-toreni-nde-yaptiklari-konusma,,2021-12-25,42.01500536,7.073954984,12.43301179,11.36120043,3.001071811,4665,0.168367347,75.88424437,1,0,1
59,20.12.2021,Speech After the Cabinet Meeting,Speech After the Cabinet Meeting,PresSpeech60.txt,PresSpeeches,https://www.tccb.gov.tr/konusmalar/353/134056/kabine-toplantisi-nin-ardindan-yaptiklari-konusma,,2021-12-20,51.22920654,5.593993817,5.005152363,9.274252907,0.441631091,6793,0.109195402,71.54423671,1,0,1
